"","repeat_id","expt","analysis_type","true_base","b_base_lower","b_base_med","b_base_upper","b_base_error","true_sex","b_sex_p_value","b_sex_lower","b_sex_med","b_sex_upper","b_sex_error","true_cond","b_cond_p_value","b_cond_lower","b_cond_med","b_cond_upper","b_cond_error","true_sex_cond","b_sex_cond_p_value","b_sex_cond_lower","b_sex_cond_med","b_sex_cond_upper","b_sex_cond_error","pub_true","pub_method","pp_n","var_pop","sample_size"
"22",2,2,"pp_linear",0,0.388764867838656,0.464698104359794,0.536750032498855,0.0380676512745099,0,NA,-0.0572056869300797,0.0364328474066341,0.125666621754518,0.0478273085824372,0,NA,-0.0405690661881139,0.0503680145126897,0.134334998302485,0.0449172680543012,1,NA,0.0531376133971357,0.153710471256133,0.259475240101223,0.0545933394794313,1,NA,1,0.439690046939096,60
"23",2,3,"pp_linear",0,0.411583127833852,0.496532441815494,0.582306043097907,0.0432326560002518,0,NA,-0.127165342192449,-0.0246204650796058,0.0827813324337653,0.0521359170384899,0,NA,-0.0704816388144477,0.0299946394923434,0.133202531022844,0.0515811236227411,1,NA,0.0861598155728152,0.179684689965304,0.266988691131117,0.0469018098045848,1,NA,1,0.439690046939096,60
"24",2,4,"pp_linear",0,0.3556479457412,0.451064406912945,0.547629828358909,0.0482354479272929,0,NA,-0.0870591660356321,0.0175220558960614,0.127508043784013,0.0553191897346517,0,NA,-0.0598464576958945,0.0503504978505671,0.161725361824604,0.0557404098385445,1,NA,0.131027051794755,0.2111826117132,0.293616861413632,0.0426664113589505,1,NA,1,0.439690046939096,60
"25",1,1,"pp_linear",0,0.433775433188066,0.525208840653559,0.617693404138359,0.0457023077886221,0,NA,-0.169746592007855,-0.0642110723928394,0.0459786736905974,0.0561275298697983,0,NA,-0.159383056941411,-0.0499202259357986,0.0649757489033936,0.0563059643337423,-2,NA,-0.332300404180966,-0.19807840418682,-0.0642095511323699,0.0696427807876061,1,NA,0,0.331460593414732,60
"26",1,2,"pp_linear",0,0.444091054899766,0.538930788934271,0.637596256548686,0.0497473628852096,0,NA,-0.171374682470705,-0.0561296567849863,0.0571199922191088,0.0578172681854409,0,NA,-0.159789616280861,-0.0466209201953772,0.0684860609565022,0.057594399755487,-2,NA,-0.361689950142459,-0.246498055029458,-0.127188937048921,0.0589765601778981,1,NA,1,0.331460593414732,60
"27",1,3,"pp_linear",0,0.379314178725353,0.47250729771193,0.561428528811094,0.0457781095937002,0,NA,-0.121535034261355,-0.0118407424246351,0.100227883372466,0.0553589230893721,0,NA,-0.158613804663661,-0.054552910585436,0.0527618692711819,0.0537428711678638,-2,NA,-0.369105012500773,-0.272149446632605,-0.171091124881964,0.0500164833736636,1,NA,1,0.331460593414732,60
"28",1,4,"pp_linear",0,0.403693200922646,0.483207540373087,0.563822519141108,0.0406068032300173,0,NA,-0.114424697408675,-0.0164645279202602,0.0778159752158235,0.0491009436038495,0,NA,-0.137684285347234,-0.0499656003752496,0.0454410201375885,0.0467937692050239,-2,NA,-0.376084707891253,-0.294116648516027,-0.212156745567103,0.0423978462447892,1,NA,1,0.331460593414732,60
"29",2,1,"pp_linear",0,0.418680163446421,0.507646069082164,0.600168888477586,0.0459739190535784,0,NA,-0.161710220312749,-0.0480590765239342,0.06405169183078,0.0584321358975914,0,NA,-0.15246282905728,-0.0417537584348739,0.0644125533533173,0.0554668777224084,-2,NA,-0.361246844240126,-0.23270514885726,-0.0893733379910416,0.0702221944009654,1,NA,0,0.479648259208131,60
"30",2,2,"pp_linear",0,0.493985860737691,0.570657218846897,0.646025718526897,0.0391477786839052,0,NA,-0.159914428032837,-0.063539423308969,0.0319011585278569,0.0487413283997147,0,NA,-0.193939595118006,-0.103369913451734,-0.00801186469448515,0.0465627487915317,-2,NA,-0.347541481404239,-0.246202074748,-0.136903081294953,0.0546059052505815,1,NA,1,0.479648259208131,60
"31",2,3,"pp_linear",0,0.423044505406149,0.489875485009887,0.562054792827618,0.0350283721056468,0,NA,-0.125791863407905,-0.0395547460634406,0.0434266743876129,0.0428364685048986,0,NA,-0.0807106706661701,0.000400979267888793,0.0819289645378959,0.0432196422761529,-2,NA,-0.387973242924705,-0.298947723015094,-0.215007888231465,0.0439204690034876,1,NA,1,0.479648259208131,60
"32",2,4,"pp_linear",0,0.512183787857456,0.589050678496141,0.666036038337916,0.0397342115153788,0,NA,-0.155707576403126,-0.0674947508217493,0.0200923409040141,0.0458978061991535,0,NA,-0.190410231861366,-0.103084375290192,-0.0083100229878127,0.0473110923347068,-2,NA,-0.382252369417625,-0.303813081104234,-0.22774261556072,0.0385434785269668,1,NA,1,0.479648259208131,60
